name,planning_area,land_use_type,centroid_lon,centroid_lat,distance_m
kml_88344,Unknown,RESIDENTIAL,103.865807,1.386964,153.127160
kml_88345,Unknown,RESIDENTIAL,103.865915,1.386938,151.247858
kml_88347,Unknown,RESIDENTIAL,103.871191,1.311570,502.790464
kml_88349,Unknown,RESIDENTIAL,103.870260,1.313450,657.000037
kml_88350,Unknown,RESIDENTIAL,103.953426,1.364035,562.415720
kml_88361,Unknown,RESIDENTIAL,103.784855,1.314163,84.673061
kml_88362,Unknown,RESIDENTIAL,103.784888,1.314067,83.028148
kml_88363,Unknown,RESIDENTIAL,103.845685,1.432889,876.766019
kml_88364,Unknown,RESIDENTIAL,103.844244,1.341737,775.188095
kml_88369,Unknown,RESIDENTIAL,103.965394,1.344612,374.777997
kml_88382,Unknown,RESIDENTIAL,103.864934,1.351463,265.357558
kml_88383,Unknown,RESIDENTIAL,103.866505,1.360553,55.776498
kml_88384,Unknown,RESIDENTIAL,103.862527,1.368639,359.845863
kml_88387,Unknown,RESIDENTIAL,103.837147,1.313788,690.851067
kml_88388,Unknown,RESIDENTIAL,103.836990,1.313863,709.699919
kml_88390,Unknown,RESIDENTIAL,103.836595,1.312512,734.826414
kml_88392,Unknown,RESIDENTIAL,103.835876,1.311413,821.935462
kml_88393,Unknown,RESIDENTIAL,103.836723,1.313760,736.232084
kml_88394,Unknown,RESIDENTIAL,103.836512,1.313661,757.060052
kml_88395,Unknown,RESIDENTIAL,103.836209,1.313405,785.687004
kml_88396,Unknown,RESIDENTIAL,103.940356,1.331085,447.000393
kml_88397,Unknown,RESIDENTIAL,103.942246,1.333466,188.366002
kml_88398,Unknown,RESIDENTIAL,103.941227,1.328490,583.817377
kml_88399,Unknown,RESIDENTIAL,103.906147,1.328409,298.234322
kml_88400,Unknown,RESIDENTIAL,103.906258,1.327248,183.754013
kml_88409,Unknown,RESIDENTIAL,103.906180,1.328655,271.106384
kml_88412,Unknown,RESIDENTIAL,103.969241,1.353049,726.682475
kml_88413,Unknown,COMMERCIAL & RESIDENTIAL,103.841780,1.432848,595.104255
kml_88416,Unknown,RESIDENTIAL,103.763994,1.319393,670.194434
kml_88423,Unknown,RESIDENTIAL,103.844586,1.343059,634.900880
kml_88424,Unknown,RESIDENTIAL,103.813209,1.445476,742.879752
kml_88425,Unknown,COMMERCIAL & RESIDENTIAL,103.856988,1.302591,597.713962
kml_88426,Unknown,RESIDENTIAL,103.905835,1.309473,376.696876
kml_88430,Unknown,RESIDENTIAL,103.847137,1.301478,279.272946
kml_88431,Unknown,RESIDENTIAL,103.847706,1.300567,168.314193
kml_88432,Unknown,RESIDENTIAL,103.845815,1.300418,221.085223
kml_88435,Unknown,RESIDENTIAL,103.792059,1.329286,98.489968
kml_88436,Unknown,RESIDENTIAL,103.783737,1.326741,52.602361
kml_88437,Unknown,RESIDENTIAL,103.783946,1.326636,54.665689
kml_88438,Unknown,RESIDENTIAL,103.784068,1.326622,56.008342
kml_88439,Unknown,RESIDENTIAL,103.784109,1.325733,154.848790
kml_88441,Unknown,RESIDENTIAL,103.784703,1.326337,116.007242
kml_88442,Unknown,RESIDENTIAL,103.785300,1.325861,200.074670
kml_88443,Unknown,RESIDENTIAL,103.790764,1.328551,258.909750
kml_88444,Unknown,RESIDENTIAL,103.791566,1.327623,287.313144
kml_88445,Unknown,RESIDENTIAL,103.791846,1.329880,83.770279
kml_88446,Unknown,RESIDENTIAL,103.791988,1.328616,167.303590
kml_88447,Unknown,RESIDENTIAL,103.792033,1.330321,71.841728
kml_88448,Unknown,RESIDENTIAL,103.792402,1.328397,178.893635
kml_88449,Unknown,RESIDENTIAL,103.792531,1.328654,149.218290
kml_88450,Unknown,RESIDENTIAL,103.792750,1.329028,108.929114
kml_88451,Unknown,RESIDENTIAL,103.792795,1.329302,80.255327
kml_88452,Unknown,RESIDENTIAL,103.793038,1.329947,49.941538
kml_88453,Unknown,RESIDENTIAL,103.793275,1.330767,114.750085
